criterion,storm_id,storm_name,year,window_start,window_end,n_qualifying_points,min_dist_km,peak_wind_kt_overall,wind_kt_at_closest,status_at_closest,month_at_closest,window_hr,category_at_closest,category_overall
near_hatteras,AL011979,Unnamed,1979,1979-06-16 18:00:00,1979-06-16 18:00:00,1,475.5608296769069,30.0,-99.0,TD,6,48.0,Unknown,TD
near_hatteras,AL011986,Andrew,1986,1986-06-06 18:00:00,1986-06-08 06:00:00,7,116.19810026783783,45.0,45.0,TS,6,84.0,TS,TS
near_hatteras,AL011988,Alberto,1988,1988-08-05 18:00:00,1988-08-07 00:00:00,6,84.65854442812238,35.0,25.0,TD,8,78.0,TD,TS
near_hatteras,AL011991,Ana,1991,1991-07-03 06:00:00,1991-07-04 00:00:00,4,150.58442646552362,45.0,30.0,TD,7,66.0,TD,TS
near_hatteras,AL011995,Allison,1995,1995-06-06 12:00:00,1995-06-07 06:00:00,4,51.367275197495964,65.0,40.0,EX,6,66.0,TS,Cat1
near_hatteras,AL011996,Arthur,1996,1996-06-19 06:00:00,1996-06-20 18:00:00,7,30.19429454535481,45.0,35.0,TS,6,84.0,TS,TS
near_hatteras,AL011997,Unnamed,1997,1997-06-01 06:00:00,1997-06-02 00:00:00,4,132.59812267692368,45.0,45.0,SS,6,66.0,TS,TS
near_hatteras,AL012001,Allison,2001,2001-06-13 18:00:00,2001-06-17 12:00:00,16,127.28428929252989,50.0,25.0,SD,6,138.0,TD,TS
near_hatteras,AL012002,Arthur,2002,2002-07-14 18:00:00,2002-07-15 12:00:00,4,47.98035124100047,50.0,30.0,TD,7,66.0,TD,TS
near_hatteras,AL012004,Alex,2004,2004-08-02 18:00:00,2004-08-04 06:00:00,7,30.468447655741905,105.0,85.0,HU,8,84.0,Cat2,Cat3
near_hatteras,AL012006,Alberto,2006,2006-06-14 12:00:00,2006-06-15 00:00:00,3,180.75965849032028,60.0,35.0,EX,6,60.0,TS,TS
near_hatteras,AL012007,Andrea,2007,2007-05-06 12:00:00,2007-05-08 00:00:00,7,141.475769607806,65.0,35.0,EX,5,84.0,TS,Cat1
near_hatteras,AL012009,One,2009,2009-05-27 00:00:00,2009-05-28 12:00:00,7,118.96333990664357,30.0,25.0,LO,5,84.0,TD,TD
near_hatteras,AL012012,Alberto,2012,2012-05-19 00:00:00,2012-05-23 06:00:00,11,274.65696821445533,50.0,25.0,LO,5,150.0,TD,TS
near_hatteras,AL012013,Andrea,2013,2013-06-07 12:00:00,2013-06-08 00:00:00,3,246.48696379204364,55.0,40.0,EX,6,60.0,TS,TS
near_hatteras,AL012014,Arthur,2014,2014-06-28 18:00:00,2014-07-04 18:00:00,10,43.0265763879029,85.0,85.0,HU,7,192.0,Cat2,Cat2
near_hatteras,AL012015,Ana,2015,2015-05-07 18:00:00,2015-05-12 06:00:00,20,191.5369173566447,50.0,30.0,TD,5,156.0,TD,TS
near_hatteras,AL012020,Arthur,2020,2020-05-18 00:00:00,2020-05-19 06:00:00,6,80.22302615047104,55.0,45.0,TS,5,78.0,TS,TS
near_hatteras,AL012023,Unnamed,2023,2023-01-15 00:00:00,2023-01-15 06:00:00,2,402.1917883192927,60.0,45.0,EX,1,54.0,TS,TS
near_hatteras,AL021982,Unnamed,1982,1982-06-19 00:00:00,1982-06-19 18:00:00,4,43.0265763879029,60.0,60.0,SS,6,66.0,TS,TS
near_hatteras,AL021985,Bob,1985,1985-07-25 12:00:00,1985-07-26 00:00:00,3,437.96891895701657,65.0,30.0,TD,7,60.0,TD,Cat1
near_hatteras,AL021987,Arlene,1987,1987-08-08 00:00:00,1987-08-09 00:00:00,5,193.60551075608439,65.0,10.0,LO,8,72.0,TD,Cat1
near_hatteras,AL021994,Unnamed,1994,1994-07-20 06:00:00,1994-07-21 06:00:00,6,407.1510597104756,30.0,30.0,TD,7,72.0,TD,TD
near_hatteras,AL021995,Barry,1995,1995-07-05 06:00:00,1995-07-05 18:00:00,3,487.18298999794246,60.0,20.0,TD,7,60.0,TD,TS
near_hatteras,AL021996,Bertha,1996,1996-07-12 12:00:00,1996-07-13 12:00:00,6,190.29650517267783,100.0,65.0,HU,7,72.0,Cat1,Cat3
near_hatteras,AL021997,Ana,1997,1997-06-30 12:00:00,1997-07-02 00:00:00,7,374.70960699280255,40.0,30.0,TD,6,84.0,TD,TS
